country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Vietnam,2012,VNM,89801928,4.56E+11,28.118,0.313,142.552,-8.679,-5.74,1.587,0.312,0.229,52.267,0.582,162.692,1.812,0.356,234.19,2339.694,1104.339,,145.207,855.164,,6973.535,1.372,,,17.957,0.2,2.934,2.69,83.79,0.933,22.21,0.247,44.21,0.492,,,626.237,2.04,0.41,0.35,0.76,0.17,0.16,,0.08,0.17,,,0.28,0.38,,241.58,263.5,20.14,14.13
Vietnam,2013,VNM,90752592,4.81E+11,30.316,0.334,149.22,6.668,4.68,1.644,0.31,0.229,56.275,0.62,188.613,2.078,0.392,264.506,2488.914,1160.614,,163.926,899.073,,7290.066,1.375,,,18.719,0.206,3.043,2.823,85.04,0.937,24.65,0.272,43.909,0.484,,,661.592,2.11,0.42,0.37,0.82,0.17,0.17,,0.08,0.18,,,0.29,0.38,,256.19,276.18,39.393,26.4
Vietnam,2014,VNM,91713848,5.10E+11,32.694,0.356,169.006,19.786,13.26,1.843,0.331,0.236,70.517,0.769,197.721,2.156,0.388,297.2,2657.92,1231.131,,183.525,945.269,,7976.739,1.435,,,19.599,0.214,3.183,2.951,84.93,0.926,23.48,0.256,46.196,0.504,,,731.577,2.19,0.48,0.47,0.88,0.18,0.18,,0.09,0.18,,,0.29,0.4,,270.66,291.88,28.715,16.99
Vietnam,2015,VNM,92677080,5.44E+11,34.298,0.37,193.004,23.998,14.2,2.082,0.355,0.243,83.191,0.898,205.652,2.219,0.378,331.497,2850.924,1314.323,,203.988,1000.321,,8980.53,1.53,,,20.463,0.221,3.6,3.363,83.85,0.905,25.91,0.28,55.052,0.594,,,832.289,2.39,0.54,0.57,0.94,0.19,0.18,,0.1,0.19,,,0.3,0.46,,311.63,333.64,12.649,6.55
Vietnam,2016,VNM,93640440,5.78E+11,36.822,0.393,192.766,-0.238,-0.12,2.059,0.334,0.225,81.561,0.871,198.718,2.122,0.344,368.32,3043.69,1395.883,,224.356,1054.335,,9606.198,1.557,,,20.368,0.218,3.572,3.45,81.85,0.874,24.82,0.265,54.015,0.577,,,899.529,2.49,0.54,0.57,1,0.2,0.19,,0.1,0.19,,,0.29,0.45,,323.08,334.45,5.953,3.09
Vietnam,2017,VNM,94600640,6.18E+11,42.735,0.452,195.249,2.484,1.29,2.064,0.316,0.213,77.68,0.821,198.223,2.095,0.321,411.055,3238.939,1473.564,,242.233,1111.292,,10231.894,1.567,,,17.877,0.189,3.616,3.488,81.28,0.859,24.89,0.263,56.957,0.602,,,967.944,2.85,0.54,0.54,1.07,0.2,0.2,,0.11,0.2,,,0.25,0.47,,330,342.09,2.973,1.52
Vietnam,2018,VNM,95545960,6.61E+11,49.637,0.52,223.718,28.468,14.58,2.342,0.338,0.216,94.927,0.993,214.547,2.246,0.324,460.692,3462.657,1568.491,,260.788,1171.891,,11367.804,1.642,,,18.554,0.194,4.175,4.048,81.42,0.852,25.44,0.266,60.599,0.634,,,1086.148,3.17,0.61,0.64,1.15,0.21,0.21,,0.11,0.21,,,0.25,0.5,,386.8,398.89,-9.171,-4.1
Global,2010,,,,,,635.6080464,,,5.248817021,0.275756906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2011,,,,,,654.7675992,,,5.245855319,0.271861111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2012,,,,,,664.1479916,,,5.254148936,0.267255556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2013,,,,,,667.8248186,,,5.139468085,0.260205556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2014,,,,,,670.6380886,,,5.14212766,0.257655556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2015,,,,,,670.4645232,,,5.098119149,0.2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2016,,,,,,669.9501224,,,5.019353191,0.25378453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,2017,,,,,,678.5323249,,,5.016974468,0.250309392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
